fbref_name,whoscored_name,team,season_id,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint,decision,notes
Albert Guðmundsson,Albert Gudmundsson,AZ Alkmaar,2018,0.7273,0.9542,0.9444,0.9444,same_given_name_diff_surname,,
Albert Guðmundsson,Albert Gudmundsson,AZ Alkmaar,2019,0.7273,0.9542,0.9444,0.9444,same_given_name_diff_surname,,
Albert Guðmundsson,Albert Gudmundsson,AZ Alkmaar,2020,0.7273,0.9542,0.9444,0.9444,same_given_name_diff_surname,,
Albert Guðmundsson,Albert Gudmundsson,AZ Alkmaar,2021,0.7273,0.9542,0.9444,0.9444,same_given_name_diff_surname,,
Marious Vrousai,Marios Vrousai,Willem II,2018,0.7647,0.9438,0.9655,0.9438,same_surname_diff_given_name,,
Marious Vrousai,Marios Vrousai,Willem II,2019,0.7647,0.9438,0.9655,0.9438,same_surname_diff_given_name,,
Bilal Başaçıkoğlu,Bilal Basaçikoglu,Feyenoord,2014,0.3077,0.9765,0.9412,0.9412,same_given_name_diff_surname,,
Bilal Başaçıkoğlu,Bilal Basaçikoglu,Feyenoord,2015,0.3077,0.9765,0.9412,0.9412,same_given_name_diff_surname,,
Bilal Başaçıkoğlu,Bilal Basaçikoglu,Feyenoord,2016,0.3077,0.9765,0.9412,0.9412,same_given_name_diff_surname,,
Bilal Başaçıkoğlu,Bilal Basaçikoglu,Feyenoord,2017,0.3077,0.9765,0.9412,0.9412,same_given_name_diff_surname,,
Jop van den Avert,Jop van der Avert,Willem II,2020,0.8,0.9515,0.9412,0.9412,given_and_surname_match_extra_middle_token,,
Szymon Włodarczyk,Szymon Wlodarczyk,Excelsior,2025,0.7143,0.9765,0.9412,0.9412,same_given_name_diff_surname,,
Dario Grujcic,Darijo Grujcic,Fortuna Sittard,2024,0.7059,0.9396,0.963,0.9396,same_surname_diff_given_name,,
Dimitris Limnios,Dimitrios Limnios,Twente,2021,0.8333,0.9382,0.9697,0.9382,same_surname_diff_given_name,,
Dimitris Limnios,Dimitrios Limnios,Fortuna Sittard,2025,0.8333,0.9382,0.9697,0.9382,same_surname_diff_given_name,,
Przemysław Tytoń,Przemyslaw Tyton,PSV,2013,0.5455,0.975,0.9375,0.9375,same_surname_diff_given_name,,
Vasileios Sourlis,Vasilis Sourlis,Fortuna Sittard,2022,0.6842,0.9498,0.9375,0.9375,same_surname_diff_given_name,,
Przemysław Tytoń,Przemyslaw Tyton,Twente,2022,0.5455,0.975,0.9375,0.9375,same_surname_diff_given_name,,
Kacper Kozłowski,Kacper Kozlowski,Vitesse,2022,0.6842,0.975,0.9375,0.9375,same_given_name_diff_surname,,
Przemysław Tytoń,Przemyslaw Tyton,Twente,2023,0.5455,0.975,0.9375,0.9375,same_surname_diff_given_name,,
Kacper Kozłowski,Kacper Kozlowski,Vitesse,2023,0.6842,0.975,0.9375,0.9375,same_given_name_diff_surname,,
Przemysław Tytoń,Przemyslaw Tyton,Twente,2024,0.5455,0.975,0.9375,0.9375,same_surname_diff_given_name,,
Przemysław Tytoń,Przemyslaw Tyton,Twente,2025,0.5455,0.975,0.9375,0.9375,same_surname_diff_given_name,,
Tobias Elshout Van Den,Tobias van den Elshout,Feyenoord,2025,1.0,0.9364,1.0,0.9364,same_given_name_diff_surname,,
Roberto González,Rober González,NEC Nijmegen,2023,0.7778,0.9607,0.9333,0.9333,same_surname_diff_given_name,,
Roberto González,Rober González,NEC Nijmegen,2024,0.7778,0.9607,0.9333,0.9333,same_surname_diff_given_name,,
Roberto González,Rober González,NEC Nijmegen,2025,0.7778,0.9607,0.9333,0.9333,same_surname_diff_given_name,,
Bartosz Białek,Bartosz Bialek,Vitesse,2022,0.6471,0.9714,0.9286,0.9286,same_given_name_diff_surname,,
Kolbeinn Sigþórsson,Kolbeinn Sigthorsson,Ajax,2013,0.64,0.9695,0.9231,0.9231,same_given_name_diff_surname,,
Kolbeinn Sigþórsson,Kolbeinn Sigthorsson,Ajax,2014,0.64,0.9695,0.9231,0.9231,same_given_name_diff_surname,,
Denys Oliynyk,Denys Oliinyk,Vitesse,2014,0.6471,0.9526,0.9231,0.9231,same_given_name_diff_surname,,
Denys Oliynyk,Denys Oliinyk,Vitesse,2015,0.6471,0.9526,0.9231,0.9231,same_given_name_diff_surname,,
Paweł Cibicki,Pawel Cibicki,ADO Den Haag,2019,0.75,0.9692,0.9231,0.9231,same_surname_diff_given_name,,
Jarosław Jach,Jaroslaw Jach,Fortuna Sittard,2020,0.6,0.9692,0.9231,0.9231,same_surname_diff_given_name,,
Burak Yılmaz,Burak Yilmaz,Fortuna Sittard,2022,0.625,0.9667,0.9167,0.9167,same_given_name_diff_surname,,
Pharrel Nash,Pharell Nash,Ajax,2025,0.625,0.9667,0.9167,0.9167,same_surname_diff_given_name,,
Yoon Doyong,Yoon Do-Young,Excelsior,2025,0.5,0.9692,0.9167,0.9167,same_given_name_diff_surname,,
Rémi Amieux,Rémy Amieux,RKC Waalwijk,2013,0.7143,0.9109,0.9091,0.9091,same_surname_diff_given_name,,
Rémi Amieux,Rémy Amieux,NAC Breda,2014,0.7143,0.9109,0.9091,0.9091,same_surname_diff_given_name,,
Dario Đumić,Dario Dumic,NEC Nijmegen,2015,0.4375,0.9636,0.9091,0.9091,same_given_name_diff_surname,,
Giorgos Katsikas,Georgios Katsikas,Twente,2015,0.5909,0.9449,0.9091,0.9091,same_surname_diff_given_name,,
Dario Đumić,Dario Dumic,NEC Nijmegen,2016,0.4375,0.9636,0.9091,0.9091,same_given_name_diff_surname,,
Giorgos Katsikas,Georgios Katsikas,Twente,2016,0.5909,0.9449,0.9091,0.9091,same_surname_diff_given_name,,
Delano van Crooy,Delano van Crooij,VVV-Venlo,2017,0.75,0.964,0.9091,0.9091,same_given_name_diff_surname,,
Delano van Crooy,Delano van Crooij,VVV-Venlo,2018,0.75,0.964,0.9091,0.9091,same_given_name_diff_surname,,
Dario Đumić,Dario Dumic,Twente,2020,0.4375,0.9636,0.9091,0.9091,same_given_name_diff_surname,,
Delano van Crooy,Delano van Crooij,VVV-Venlo,2020,0.75,0.964,0.9091,0.9091,same_given_name_diff_surname,,
Dario Đumić,Dario Dumic,Twente,2021,0.4375,0.9636,0.9091,0.9091,same_given_name_diff_surname,,
Rúnar Þór Sigurgeirsson,Rúnar Sigurgeirsson,Willem II,2024,0.8333,0.9126,0.9048,0.9048,given_and_surname_match_extra_middle_token,,
Nikolaos Michelis,Nikos Michelis,Willem II,2021,0.7368,0.9076,0.9032,0.9032,same_surname_diff_given_name,,
Nökkvi Þórisson,Nökkvi Thórisson,Telstar,2025,0.65,0.9617,0.9032,0.9032,same_given_name_diff_surname,,
Hannes Þór Halldórsson,Hannes Halldórsson,NEC Nijmegen,2015,0.8095,0.9192,0.9,0.9,given_and_surname_match_extra_middle_token,,
Adam Kayed,Adam Kaied,NAC Breda,2024,0.5714,0.96,0.9,0.9,same_given_name_diff_surname,,
Vytas Andriuškevičius,Vytautas Andriuskevicius,Cambuur,2014,0.5333,0.8988,0.9333,0.8988,same_surname_diff_given_name,,
Vytas Andriuškevičius,Vytautas Andriuskevicius,Cambuur,2015,0.5333,0.8988,0.9333,0.8988,same_surname_diff_given_name,,
Joeri Schroyen,Joeri Schroijen,Go Ahead Eagles,2013,0.6316,0.959,0.8966,0.8966,same_given_name_diff_surname,,
Thomas Meißner,Thomas Meissner,ADO Den Haag,2016,0.6316,0.959,0.8966,0.8966,same_given_name_diff_surname,,
Thomas Meißner,Thomas Meissner,ADO Den Haag,2017,0.6316,0.959,0.8966,0.8966,same_given_name_diff_surname,,
Thomas Meißner,Thomas Meissner,Willem II,2017,0.6316,0.959,0.8966,0.8966,same_given_name_diff_surname,,
Thomas Meißner,Thomas Meissner,Willem II,2018,0.6316,0.959,0.8966,0.8966,same_given_name_diff_surname,,
Nikos Karelis,Nikolaos Karelis,ADO Den Haag,2020,0.7222,0.9163,0.8966,0.8966,same_surname_diff_given_name,,
Facundo González,Facu González,Feyenoord,2024,0.7222,0.9317,0.8966,0.8966,same_surname_diff_given_name,,
Willum Þór Willumsson,Willum Willumsson,Go Ahead Eagles,2022,0.75,0.9266,0.8947,0.8947,given_and_surname_match_extra_middle_token,,
Willum Þór Willumsson,Willum Willumsson,Go Ahead Eagles,2023,0.75,0.9266,0.8947,0.8947,given_and_surname_match_extra_middle_token,,
Willum Þór Willumsson,Willum Willumsson,NEC Nijmegen,2025,0.75,0.9266,0.8947,0.8947,given_and_surname_match_extra_middle_token,,
Matt Garbett,Matthew Garbett,NAC Breda,2024,0.75,0.91,0.8889,0.8889,same_surname_diff_given_name,,
Daniel Crowley,Dan Crowley,Go Ahead Eagles,2016,0.6875,0.8864,0.88,0.88,same_surname_diff_given_name,,
Daniel Crowley,Dan Crowley,Willem II,2017,0.6875,0.8864,0.88,0.88,same_surname_diff_given_name,,
Daniel Crowley,Dan Crowley,Willem II,2018,0.6875,0.8864,0.88,0.88,same_surname_diff_given_name,,
Daniel Crowley,Dan Crowley,Willem II,2021,0.6875,0.8864,0.88,0.88,same_surname_diff_given_name,,
Harry Kuster,Harrie Kuster,Twente,2024,0.6875,0.898,0.88,0.88,same_surname_diff_given_name,,
Dan Mori,Din Mori,Vitesse,2013,0.5,0.925,0.875,0.875,same_surname_diff_given_name,,
Dan Mori,Din Mori,Vitesse,2014,0.5,0.925,0.875,0.875,same_surname_diff_given_name,,
Charly Musonda Jr.,Charly Musonda,Vitesse,2018,0.8333,0.9556,0.875,0.875,substring_match,,
Charly Musonda Jr.,Charly Musonda,Vitesse,2019,0.8333,0.9556,0.875,0.875,substring_match,,
Nathan Markelo,Nathangelo Markelo,Twente,2020,0.7778,0.8984,0.875,0.875,same_surname_diff_given_name,,
Nathan Markelo,Nathangelo Markelo,Excelsior,2022,0.7778,0.8984,0.875,0.875,same_surname_diff_given_name,,
Nathan Markelo,Nathangelo Markelo,Fortuna Sittard,2023,0.7778,0.8984,0.875,0.875,same_surname_diff_given_name,,
