canonical_player_id,canonical_name,transfermarkt_player_id,transfermarkt_name,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint
120,Ruben Schaken,31453,Ruben Schaken,1.0,1.0,1.0,1.0,exact_after_normalize
121,Tonny Vilhena,182581,Tonny Vilhena,1.0,1.0,1.0,1.0,exact_after_normalize
122,Joey Godee,71787,Joey Godee,1.0,1.0,1.0,1.0,exact_after_normalize
123,Mawouna Amevor,170720,Mawouna Amevor,1.0,1.0,1.0,1.0,exact_after_normalize
124,Xandro Schenk,226026,Xandro Schenk,1.0,1.0,1.0,1.0,exact_after_normalize
125,Eloy Room,79294,Eloy Room,1.0,1.0,1.0,1.0,exact_after_normalize
126,Sjoerd Overgoor,82939,Sjoerd Overgoor,1.0,1.0,1.0,1.0,exact_after_normalize
127,Xander Houtkoop,71099,Xander Houtkoop,1.0,1.0,1.0,1.0,exact_after_normalize
128,Bart Vriends,129991,Bart Vriends,1.0,1.0,1.0,1.0,exact_after_normalize
129,Thomas Azevedo,100101,Thomas Azevedo,1.0,1.0,1.0,1.0,exact_after_normalize
130,Lars Lambooij,110902,Lars Lambooij,1.0,1.0,1.0,1.0,exact_after_normalize
131,Jeffrey Rijsdijk,111191,Jeffrey Rijsdijk,1.0,1.0,1.0,1.0,exact_after_normalize
133,Erik Falkenburg,67220,Erik Falkenburg,1.0,1.0,1.0,1.0,exact_after_normalize
136,Stephan Andersen,17880,Stephan Andersen,1.0,1.0,1.0,1.0,exact_after_normalize
138,Doke Schmidt,195359,Doke Schmidt,1.0,1.0,1.0,1.0,exact_after_normalize
139,Jarchinio Antonia,162672,Jarchinio Antonia,1.0,1.0,1.0,1.0,exact_after_normalize
140,Jop van der Linden,80671,Jop van der Linden,1.0,1.0,1.0,1.0,exact_after_normalize
142,Jordy Buijs,31111,Jordy Buijs,1.0,1.0,1.0,1.0,exact_after_normalize
143,Anthony Lurling,4158,Anthony Lurling,1.0,1.0,1.0,1.0,exact_after_normalize
144,Elson Hooi,229228,Elson Hooi,1.0,1.0,1.0,1.0,exact_after_normalize
145,Alex Schalk,186228,Alex Schalk,1.0,1.0,1.0,1.0,exact_after_normalize
146,Joey Suk,101657,Joey Suk,1.0,1.0,1.0,1.0,exact_after_normalize
147,Rydell Poepon,43247,Rydell Poepon,1.0,1.0,1.0,1.0,exact_after_normalize
148,Stipe Perica,245072,Stipe Perica,1.0,1.0,1.0,1.0,exact_after_normalize
