fbref_name,whoscored_name,team,season_id,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint,decision,notes
Thomas van den Belt,Thomas Beelen,Feyenoord,2023,0.4167,0.8776,0.75,0.75,same_given_name_diff_surname,No match,Same age but verified through birthday
Thomas Beelen,Thomas van den Belt,Feyenoord,2023,0.4167,0.8776,0.75,0.75,same_given_name_diff_surname,No match,Same age but verified through birthday
Oliver Edvardsen,Victor Edvardsen,Go Ahead Eagles,2023,0.4167,0.7738,0.75,0.75,same_surname_diff_given_name,No match,Different people - verified thru age
Victor Edvardsen,Oliver Edvardsen,Go Ahead Eagles,2023,0.4167,0.7738,0.75,0.75,same_surname_diff_given_name,No match,Different people - verified thru age
Victor Edvardsen,Oliver Edvardsen,Go Ahead Eagles,2024,0.4167,0.7738,0.75,0.75,same_surname_diff_given_name,No match,Different people - verified thru age
Oliver Edvardsen,Victor Edvardsen,Go Ahead Eagles,2024,0.4167,0.7738,0.75,0.75,same_surname_diff_given_name,No match,Different people - verified thru age
Joël van Kaam,Daniël van Kaam,Groningen,2019,0.5,0.7386,0.7857,0.7386,same_surname_diff_given_name,,
Daniël van Kaam,Joël van Kaam,Groningen,2020,0.5,0.7386,0.7857,0.7386,same_surname_diff_given_name,,
Joël van Kaam,Daniël van Kaam,Groningen,2020,0.5,0.7386,0.7857,0.7386,same_surname_diff_given_name,,
Tsiy-William Ndenge,Tsiy Ndenge,Roda JC,2017,0.6,0.9158,0.7333,0.7333,same_surname_diff_given_name,,
Sava Cestic,Sava-Arangel Cestic,Heracles Almelo,2023,0.6,0.8976,0.7333,0.7333,same_surname_diff_given_name,,
Sava Cestic,Sava-Arangel Cestic,Heracles Almelo,2025,0.6,0.8976,0.7333,0.7333,same_surname_diff_given_name,,
Tim Riksman,Tim Freriks,Groningen,2017,0.3333,0.8909,0.7273,0.7273,same_given_name_diff_surname,,
