canonical_player_id,transfermarkt_player_id,canonical_name,transfermarkt_name,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint,decision,notes
589,276002,Pär Hansson,Emil Hansson,0.4706,0.7563,0.6087,0.6087,same_surname_diff_given_name,,
592,37217,Emil Hansson,Pär Hansson,0.4706,0.7563,0.6087,0.6087,same_surname_diff_given_name,,
656,187188,Nick Kuipers,Bas Kuipers,0.4706,0.7563,0.6087,0.6087,same_surname_diff_given_name,,
1704,34159,Eduardo Carvalho,Eduardo,0.4706,0.8875,0.6087,0.6087,substring_match,,
1173,179481,Michael Verrips,Michael Olaitan,0.3333,0.84,0.6,0.6,same_given_name_diff_surname,,
1705,349567,Juan Carlos Familia,Juan Familia-Castillo,0.5556,0.8583,0.6,0.6,same_given_name_diff_surname,,
360,203939,Mickey van der Hart,Robin van der Meer,0.3103,0.6827,0.5946,0.5946,other,,
604,207048,Robin van der Meer,Mickey van der Hart,0.3103,0.6827,0.5946,0.5946,other,,
647,72505,Thomas Kok,Thomas Meißner,0.3684,0.84,0.5833,0.5833,same_given_name_diff_surname,,
720,357826,Thomas Lam,Thomas Buitink,0.3684,0.84,0.5833,0.5833,same_given_name_diff_surname,,
742,131821,Thomas Buitink,Thomas Lam,0.3684,0.84,0.5833,0.5833,same_given_name_diff_surname,,
947,593862,Ryan Thomas,Thomas Beelen,0.3684,0.5821,0.6667,0.5821,other,,
650,34785,Branco van den Boomen,Joey van den Berg,0.3103,0.648,0.5789,0.5789,other,,
881,203938,Victor van den Bogert,Branco van den Boomen,0.3226,0.6984,0.5714,0.5714,other,,
947,357826,Ryan Thomas,Thomas Buitink,0.35,0.5693,0.64,0.5693,other,,
282,186863,Christian Atsu,Cristian Cuevas,0.3043,0.8721,0.5517,0.5517,other,,
766,64352,Kostas Tsimikas,Kostas Lamprou,0.3043,0.8263,0.5517,0.5517,same_given_name_diff_surname,,
881,477476,Victor van den Bogert,Connor van den Berg,0.3226,0.743,0.55,0.55,other,,
1243,417827,Connor van den Berg,Victor van den Bogert,0.3226,0.743,0.55,0.55,other,,
82,67245,Martijn Barto,Martijn van der Laan,0.32,0.8538,0.5455,0.5455,same_given_name_diff_surname,,
690,502289,Dylan Vente,Dylan Mbayo,0.3333,0.697,0.5455,0.5455,same_given_name_diff_surname,,
930,49591,George Cox,Leroy George,0.4118,0.6659,0.5455,0.5455,other,,
930,337278,George Cox,George Mells,0.4118,0.8567,0.5455,0.5455,same_given_name_diff_surname,,
1048,359692,Leroy George,George Cox,0.4118,0.6659,0.5455,0.5455,other,,
1125,559327,Youri Regeer,Youri Baas,0.3333,0.82,0.5455,0.5455,same_given_name_diff_surname,,
1258,559324,Youri Baas,Youri Regeer,0.3333,0.82,0.5455,0.5455,same_given_name_diff_surname,,
113,75295,Wesley Verhoek,John Verhoek,0.4,0.621,0.5385,0.5385,same_surname_diff_given_name,,
1706,422158,Nicolas Elsek,Nicolas Olsak,0.4,0.9385,0.5385,0.5385,same_given_name_diff_surname,,
947,412941,Ryan Thomas,Thomas van den Belt,0.3333,0.6158,0.5333,0.5333,other,,
472,458017,Alexander Bannink,Alexander Afoussi,0.4,0.8824,0.5294,0.5294,same_given_name_diff_surname,,
554,88968,Abdenasser El Khayati,Nasser El Khayati,0.6667,0.7993,0.5263,0.5263,substring_match,,
183,228048,Daan Bovenberg,Daan Blij,0.3158,0.6984,0.5217,0.5217,same_given_name_diff_surname,,
40,326330,Siem de Jong,Frenkie de Jong,0.381,0.7667,0.5185,0.5185,same_surname_diff_given_name,,
407,45509,Frenkie de Jong,Siem de Jong,0.381,0.7667,0.5185,0.5185,same_surname_diff_given_name,,
748,309393,Lennart Thy,Lennart Czyborra,0.381,0.8761,0.5185,0.5185,same_given_name_diff_surname,,
720,203357,Thomas Lam,Ryan Thomas,0.4375,0.5045,0.7619,0.5045,other,,
947,131821,Ryan Thomas,Thomas Lam,0.4375,0.5045,0.7619,0.5045,other,,
337,420189,Tom van Weert,Tom van de Looi,0.3636,0.8585,0.5,0.5,same_given_name_diff_surname,,
338,49640,Kevin Vermeulen,Kevin van Diermen,0.4167,0.8678,0.5,0.5,same_given_name_diff_surname,,
538,549954,Mohammed Osman,Mohamed Amissi,0.3043,0.8597,0.5,0.5,other,,
949,62337,Ibrahim Afellay,Ibrahim Rabiu,0.3636,0.8585,0.5,0.5,same_given_name_diff_surname,,
1474,855731,Jordan Lotomba,Jordan Bos,0.3684,0.8863,0.5,0.5,same_given_name_diff_surname,,
1708,931841,Amar Ahmed,Amar Fatah,0.3125,0.88,0.5,0.5,same_given_name_diff_surname,,
